,Comments,Domain,SUB-DOMAIN,SENTIMENT
137,"Bringing more up-to-date slides and references into play.  Some slides were unfortunately, very much behind the ball.   These kinds of stats I understand change frequently, yet some were up to five years out.  It was frustrating to have to bring the alternative view into the environment debate.  Still having to give air-time to those who just do not believe in the science.",COURSE/UNIT DESIGN,Methods of learning and teaching,negative
138,"Bringing more up-to-date slides and references into play.  Some slides were unfortunately, very much behind the ball.   These kinds of stats I understand change frequently, yet some were up to five years out.  It was frustrating to have to bring the alternative view into the environment debate.  Still having to give air-time to those who just do not believe in the science.",COURSE/UNIT DESIGN,Structure and expectations,negative
139,"Bringing more up-to-date slides and references into play.  Some slides were unfortunately, very much behind the ball.   These kinds of stats I understand change frequently, yet some were up to five years out.  It was frustrating to have to bring the alternative view into the environment debate.  Still having to give air-time to those who just do not believe in the science.",COURSE/UNIT DESIGN,Practical-theory links,negative
140,"Bringing more up-to-date slides and references into play.  Some slides were unfortunately, very much behind the ball.   These kinds of stats I understand change frequently, yet some were up to five years out.  It was frustrating to have to bring the alternative view into the environment debate.  Still having to give air-time to those who just do not believe in the science.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
141,"Bringing more up-to-date slides and references into play.  Some slides were unfortunately, very much behind the ball.   These kinds of stats I understand change frequently, yet some were up to five years out.  It was frustrating to have to bring the alternative view into the environment debate.  Still having to give air-time to those who just do not believe in the science.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
142,By having a closer look at the actual foreign policyvin existence and critically assessing it,unkonwn,unkonwn,negative
143,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",ASSESSMENT,Marking,positive
144,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",SUPPORT,Student services,positive
145,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",SUPPORT,Student administration,positive
146,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",SUPPORT,Social affinity/ support,positive
147,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",ASSESSMENT,Standards,positive
148,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",ASSESSMENT,Relevance,positive
149,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",ASSESSMENT,Feedback/ return,positive
150,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",COURSE/UNIT DESIGN,Structure and expectations,positive
151,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
152,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
153,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
154,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",ASSESSMENT,Expectations,positive
155,"By offering comparable services to off campus students, making assessment guides clearer and more concise.",SUPPORT,Infrastructure/ environment,positive
156,"By the students interacting more in the discussion threads. It started out well, I'm not sure what happened, but it was definitely not through lack of attention by Thor and Naarah.",unkonwn,unkonwn,negative
157,Compulsory!!!!!!!!!!!,unkonwn,unkonwn,negative
158,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,OUTCOMES,Knowledge & Skills,positive
159,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,SUPPORT,Infrastructure/ environment,positive
160,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,COURSE/UNIT DESIGN,Structure and expectations,positive
161,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,OUTCOMES,Intellectual,positive
162,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,COURSE/UNIT DESIGN,Practical-theory links,positive
163,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,COURSE/UNIT DESIGN,Methods of learning and teaching,positive
164,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,OUTCOMES,Personal,positive
165,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
166,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,OUTCOMES,Work application/ career,positive
167,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,SUPPORT,Library,positive
168,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
169,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,ASSESSMENT,Expectations,positive
170,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,SUPPORT,Leanring resources,positive
171,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,ASSESSMENT,Standards,positive
172,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,OUTCOMES,Further Learning,positive
173,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,SUPPORT,Social affinity/ support,positive
174,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,SUPPORT,Student services,positive
175,Definitely some consideration of how to transition science trained writers into the type of essay writing required.  There was too much assumed knowledge and throwing people in the deep end from that perspective.  Please make sure that reading materials are all available online given this is not an on-campus unit.,ASSESSMENT,Feedback/ return,positive
176,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",STAFF,Practical experience (current),negative
177,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",ASSESSMENT,Expectations,negative
178,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
179,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",STAFF,Accessibility and responsiveness,negative
180,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",ASSESSMENT,Standards,negative
181,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",ASSESSMENT,Relevance,negative
182,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",ASSESSMENT,Feedback/ return,negative
183,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
184,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",COURSE/UNIT DESIGN,Practical-theory links,negative
185,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",COURSE/UNIT DESIGN,Methods of learning and teaching,negative
186,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",STAFF,Teaching skills,negative
187,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",STAFF,Quality and attitude,negative
188,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",ASSESSMENT,Marking,negative
189,"Don't change the text book in week 1, post an up to date unit guide, change over of staff & loss of first 4 weeks the entire unit was behind, we needed additional seminars in the first few weeks when Thor started to catch up.  Doesn't matter how much reading you do, the seminars consolidate and explain this highly intricate subject.  Main isThors regarding the assignment (such as unreasonableness) not discussed until the lecture a week prior to it being due.  It is not realistic or fair to expect students to be able to respond to necessary changes in 6 days of such a complicated assessment",COURSE/UNIT DESIGN,Structure and expectations,negative
190,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
191,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",STAFF,Accessibility and responsiveness,positive
192,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
193,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
194,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",COURSE/UNIT DESIGN,Practical-theory links,positive
195,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",COURSE/UNIT DESIGN,Structure and expectations,positive
196,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",STAFF,Practical experience (current),positive
197,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",STAFF,Quality and attitude,positive
198,"Ensure what is being taught is current and correct.  
Allow tutor to write their own powerpoints rather than use incorrect ones provided by the unit.",STAFF,Teaching skills,positive
199,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
200,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",ASSESSMENT,Expectations,positive
201,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",COURSE/UNIT DESIGN,Structure and expectations,positive
202,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
203,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
204,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",ASSESSMENT,Standards,positive
205,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",ASSESSMENT,Relevance,positive
206,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",ASSESSMENT,Marking,positive
207,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",ASSESSMENT,Feedback/ return,positive
208,"Feedback on the essays light in content/value. Other units I have done have marked up the assignments and provided a marked up copy back with comments in the word doc, or provided verbal recordings of feedback that was more in depth. Not knowing which parts hit the mark/ which parts did not, I struggled with the second essay. The second essay feedback was also very low on details.  To know which parts were good is just as important as what wasn't and knowing what parts the markers thought were original and worth inclusion would be helpful.",COURSE/UNIT DESIGN,Practical-theory links,positive
209,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",OUTCOMES,Work application/ career,positive
210,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",OUTCOMES,Personal,positive
211,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
212,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",OUTCOMES,Intellectual,positive
213,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",COURSE/UNIT DESIGN,Structure and expectations,positive
214,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",OUTCOMES,Knowledge & Skills,positive
215,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",OUTCOMES,Further Learning,positive
216,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
217,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
218,"Greater consistency of learning experience.  If I am not mistaken, there were three groups, and the learning experience of each group appeared to be quite different.",COURSE/UNIT DESIGN,Practical-theory links,positive
219,"Greater correlation between UNIT and UNIT and clarity on the core objectives of each unit to avoid overlap.
I would have appreciated a focus on substance over performance.  In particular, I felt some of the critical isThors of mandatory reporting, duty of care, etc. were treated superficially and somewhat flippantly in the big lecture sessions (early on the unit, perhaps as early a Day One in the TFA programme...).  I felt that these were such crucial areas, yet given the summary way that they were handled, I lost confidence in the leadership of this unit early on.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
220,"Greater correlation between UNIT and UNIT and clarity on the core objectives of each unit to avoid overlap.
I would have appreciated a focus on substance over performance.  In particular, I felt some of the critical isThors of mandatory reporting, duty of care, etc. were treated superficially and somewhat flippantly in the big lecture sessions (early on the unit, perhaps as early a Day One in the TFA programme...).  I felt that these were such crucial areas, yet given the summary way that they were handled, I lost confidence in the leadership of this unit early on.",COURSE/UNIT DESIGN,Practical-theory links,positive
221,"Greater correlation between UNIT and UNIT and clarity on the core objectives of each unit to avoid overlap.
I would have appreciated a focus on substance over performance.  In particular, I felt some of the critical isThors of mandatory reporting, duty of care, etc. were treated superficially and somewhat flippantly in the big lecture sessions (early on the unit, perhaps as early a Day One in the TFA programme...).  I felt that these were such crucial areas, yet given the summary way that they were handled, I lost confidence in the leadership of this unit early on.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
222,"Greater correlation between UNIT and UNIT and clarity on the core objectives of each unit to avoid overlap.
I would have appreciated a focus on substance over performance.  In particular, I felt some of the critical isThors of mandatory reporting, duty of care, etc. were treated superficially and somewhat flippantly in the big lecture sessions (early on the unit, perhaps as early a Day One in the TFA programme...).  I felt that these were such crucial areas, yet given the summary way that they were handled, I lost confidence in the leadership of this unit early on.",COURSE/UNIT DESIGN,Structure and expectations,positive
223,"Greater correlation between UNIT and UNIT and clarity on the core objectives of each unit to avoid overlap.
I would have appreciated a focus on substance over performance.  In particular, I felt some of the critical isThors of mandatory reporting, duty of care, etc. were treated superficially and somewhat flippantly in the big lecture sessions (early on the unit, perhaps as early a Day One in the TFA programme...).  I felt that these were such crucial areas, yet given the summary way that they were handled, I lost confidence in the leadership of this unit early on.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
224,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
225,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",OUTCOMES,Further Learning,positive
226,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
227,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
228,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",OUTCOMES,Work application/ career,positive
229,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",OUTCOMES,Personal,positive
230,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",OUTCOMES,Knowledge & Skills,positive
231,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",OUTCOMES,Intellectual,positive
232,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",COURSE/UNIT DESIGN,Structure and expectations,positive
233,"Greater emphasis on practical application of some key concepts, use of live examples and insights. EG Steve Jobs talking APPLE marketing ideas was helpful...  drawing on real world examples can help students easily identify some of the concepts being pitched.",COURSE/UNIT DESIGN,Practical-theory links,positive
234,Group assignments are not effectively managed and add no specific value to this unit.  Individual assignments would be preferable.,COURSE/UNIT DESIGN,Structure and expectations,negative
235,Group assignments are not effectively managed and add no specific value to this unit.  Individual assignments would be preferable.,COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
236,Group assignments are not effectively managed and add no specific value to this unit.  Individual assignments would be preferable.,COURSE/UNIT DESIGN,Practical-theory links,negative
237,Group assignments are not effectively managed and add no specific value to this unit.  Individual assignments would be preferable.,COURSE/UNIT DESIGN,Methods of learning and teaching,negative
238,Group assignments are not effectively managed and add no specific value to this unit.  Individual assignments would be preferable.,COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
239,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,COURSE/UNIT DESIGN,Flexibility/ responsiveness,negative
240,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,OUTCOMES,Further Learning,negative
241,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,OUTCOMES,Personal,negative
242,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,COURSE/UNIT DESIGN,Methods of learning and teaching,negative
243,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,COURSE/UNIT DESIGN,Practical-theory links,negative
244,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,COURSE/UNIT DESIGN,Relevance (to work/life/discipline),negative
245,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,COURSE/UNIT DESIGN,Structure and expectations,negative
246,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,OUTCOMES,Intellectual,negative
247,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,OUTCOMES,Knowledge & Skills,negative
248,I actually feel sad for other students who have not had the opportunity to complete a residential or this class. They are missing so much of the learning experience.,OUTCOMES,Work application/ career,negative
249,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Further Learning,positive
250,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
251,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,COURSE/UNIT DESIGN,Structure and expectations,positive
252,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,COURSE/UNIT DESIGN,Practical-theory links,positive
253,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,COURSE/UNIT DESIGN,Methods of learning and teaching,positive
254,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Work application/ career,positive
255,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
256,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Knowledge & Skills,positive
257,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Interpersonal,positive
258,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Intellectual,positive
259,I can't think of anything as I thought whilst challenging it was a well put together unit and the learning outcomes were clear and I can use them in my work and everyday life.,OUTCOMES,Personal,positive
260,I don't think it need any improvement. It is well set.,unkonwn,unkonwn,negative
261,"I feel that the benefits of group work are negligible as they don't simulate real life collaboration at all. However, that doesn't really matter. If we have to do group work, then we have to do group work.",OUTCOMES,Knowledge & Skills,positive
262,"I feel that the benefits of group work are negligible as they don't simulate real life collaboration at all. However, that doesn't really matter. If we have to do group work, then we have to do group work.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
